"Path","Kind","Name","Line"
"backend\app\chat_io\character_builder.py","def","build_characters_from_chat","4"
"backend\app\chat_io\character_builder.py","def","infer_personality","36"
"backend\app\chat_io\character_builder.py","def","infer_role","55"
"backend\app\chat_io\character_builder.py","def","infer_speaking_style","72"
"backend\app\chat_io\character_builder.py","def","infer_goals","88"
"backend\app\chat_io\character_builder.py","def","infer_scenario_alignment","106"
"backend\app\chat_io\consistency_checker.py","def","check_chat_consistency","4"
"backend\app\chat_io\consistency_checker.py","def","find_duplicate_character_names","63"
"backend\app\chat_io\consistency_checker.py","def","find_basic_contradictions","71"
"backend\app\chat_io\exporter.py","def","export_chat_json","4"
"backend\app\chat_io\exporter.py","def","export_chat_docx","14"
"backend\app\chat_io\exporter.py","def","export_chat_pdf","51"
"backend\app\chat_io\importer.py","def","import_chat_url","10"
"backend\app\chat_io\importer.py","def","import_chat_file","50"
"backend\app\chat_io\importer.py","def","import_json","67"
"backend\app\chat_io\importer.py","def","import_pdf","82"
"backend\app\chat_io\importer.py","def","import_docx","96"
"backend\app\chat_io\importer.py","def","normalize_message_list","106"
"backend\app\chat_io\importer.py","def","parse_plain_text","136"
"backend\app\chat_io\spelling_cleaner.py","def","clean_text","20"
"backend\app\chat_io\spelling_cleaner.py","def","clean_chat_messages","29"
"backend\app\core\auto_fill.py","def","auto_fill_character","11"
"backend\app\core\auto_fill.py","def","gen_photo_prompt","67"
"backend\app\core\auto_fill.py","def","_el","91"
"backend\app\core\automode.py","def","score_ai_actions","14"
"backend\app\core\automode.py","def","full_world_tick","24"
"backend\app\core\automode.py","def","run_auto_ticks","91"
"backend\app\core\automode.py","def","start_automode","94"
"backend\app\core\automode.py","def","stop_automode","107"
"backend\app\core\automode.py","def","is_automode_running","110"
"backend\app\core\backup_restore.py","def","create_backup","17"
"backend\app\core\backup_restore.py","def","restore_backup","30"
"backend\app\core\backup_restore.py","def","list_backups","43"
"backend\app\core\character_data.py","def","height_range_str","9"
"backend\app\core\character_data.py","def","random_height","13"
"backend\app\core\character_data.py","def","get_measurement_range","17"
"backend\app\core\character_data.py","def","random_measurements","21"
"backend\app\core\character_data.py","def","random_backstory","25"
"backend\app\core\character_data.py","def","random_scenario","29"
"backend\app\core\character_data.py","def","random_goals","33"
"backend\app\core\character_data.py","def","_build_all","37"
"backend\app\core\character_data.py","def","get_library","41"
"backend\app\core\character_data.py","def","_build_lib","45"
"backend\app\core\character_data.py","def","generate_character_options_doc","49"
"backend\app\core\character_search.py","def","_error_detail","47"
"backend\app\core\character_search.py","def","_local_only_blocked","62"
"backend\app\core\character_search.py","def","search_characters","73"
"backend\app\core\character_search.py","def","fetch_character_card","144"
"backend\app\core\character_search.py","def","_extract_card_json","165"
"backend\app\core\chat_engine.py","def","get_system_preamble","61"
"backend\app\core\chat_engine.py","def","set_system_preamble","74"
"backend\app\core\chat_engine.py","def","build_system_prompt","86"
"backend\app\core\chat_engine.py","def","get_active_model","108"
"backend\app\core\chat_engine.py","def","set_active_model","121"
"backend\app\core\chat_engine.py","def","send_to_llm","133"
"backend\app\core\chat_engine.py","def","stream_from_llm","151"
"backend\app\core\chat_engine.py","def","save_message","202"
"backend\app\core\chat_engine.py","def","get_history","208"
"backend\app\core\chat_engine.py","def","edit_message","216"
"backend\app\core\chat_engine.py","def","delete_message","221"
"backend\app\core\chat_engine.py","def","rollback_last","226"
"backend\app\core\chat_engine.py","def","tag_moment","236"
"backend\app\core\chat_engine.py","def","get_moments","241"
"backend\app\core\chat_engine.py","def","search_messages","249"
"backend\app\core\chat_engine.py","def","clear_session","257"
"backend\app\core\chat_engine.py","def","export_chat_txt","265"
"backend\app\core\chat_engine.py","def","export_chat_json","274"
"backend\app\core\chat_engine.py","def","export_chat_html","293"
"backend\app\core\chat_engine.py","def","generate_suggestions","316"
"backend\app\core\chat_engine.py","def","generate_chat_summary","334"
"backend\app\core\chat_engine.py","def","extract_highlights","345"
"backend\app\core\companion_soul.py","def","get_soul","23"
"backend\app\core\companion_soul.py","def","save_soul","35"
"backend\app\core\companion_soul.py","def","update_affect","41"
"backend\app\core\companion_soul.py","def","build_soul_prompt","66"
"backend\app\core\db_migration.py","def","migrate_db","6"
"backend\app\core\edge_tts_engine.py","def","speak_edge_tts","46"
"backend\app\core\edge_tts_engine.py","def","get_voice_for_character","69"
"backend\app\core\edge_voice.py","def","speak_text","52"
"backend\app\core\edge_voice.py","def","get_voice_for_character","89"
"backend\app\core\image_gen.py","def","_try_pollinations","43"
"backend\app\core\image_gen.py","def","_try_comfyui","54"
"backend\app\core\image_gen.py","def","_try_automatic1111","105"
"backend\app\core\image_gen.py","def","_placeholder_image","126"
"backend\app\core\image_gen.py","def","generate_image_url","138"
"backend\app\core\image_gen.py","def","download_image","145"
"backend\app\core\image_gen.py","def","build_character_prompt","195"
"backend\app\core\image_gen.py","def","generate_character_image","220"
"backend\app\core\image_gen.py","def","get_active_provider","236"
"backend\app\core\image_gen.py","def","set_provider_order","249"
"backend\app\core\import_test.py","def","test_imports","43"
"backend\app\core\import_test.py","def","run_all","57"
"backend\app\core\knowledge_base.py","def","_get_embedder","22"
"backend\app\core\knowledge_base.py","def","index_file","32"
"backend\app\core\knowledge_base.py","def","index_folder","65"
"backend\app\core\knowledge_base.py","def","search_knowledge","76"
"backend\app\core\knowledge_base.py","def","_keyword_search","83"
"backend\app\core\knowledge_base.py","def","_vector_search","97"
"backend\app\core\knowledge_base.py","def","_cosine","124"
"backend\app\core\knowledge_base.py","def","_extract_snippet","131"
"backend\app\core\knowledge_base.py","def","list_indexed","140"
"backend\app\core\knowledge_base.py","def","delete_document","147"
"backend\app\core\levelling.py","def","xp_for_level","12"
"backend\app\core\levelling.py","def","level_from_xp","13"
"backend\app\core\levelling.py","def","xp_progress","17"
"backend\app\core\levelling.py","def","get_available_professions","72"
"backend\app\core\levelling.py","def","can_change_profession","79"
"backend\app\core\levelling.py","def","get_available_skills","109"
"backend\app\core\levelling.py","def","get_character","119"
"backend\app\core\levelling.py","def","get_character_by_name","123"
"backend\app\core\levelling.py","def","award_xp","127"
"backend\app\core\levelling.py","def","award_xp_by_name","139"
"backend\app\core\levelling.py","def","increase_stat","143"
"backend\app\core\levelling.py","def","add_skill_to_character","151"
"backend\app\core\levelling.py","def","add_feat_to_character","163"
"backend\app\core\levelling.py","def","change_profession","182"
"backend\app\core\levelling.py","def","get_achievement_bonuses","189"
"backend\app\core\levelling.py","def","get_equipment_bonuses","204"
"backend\app\core\levelling.py","def","get_total_stats","223"
"backend\app\core\levelling.py","def","get_inventory_summary","239"
"backend\app\core\levelling.py","def","get_full_sheet","257"
"backend\app\core\levelling.py","def","build_char_prompt","288"
"backend\app\core\logging_setup.py","def","configure_logging","16"
"backend\app\core\logging_setup.py","def","get_logger","56"
"backend\app\core\lorebook.py","def","create_entry","11"
"backend\app\core\lorebook.py","def","get_triggered_entries","23"
"backend\app\core\lorebook.py","def","build_lorebook_context","45"
"backend\app\core\lorebook.py","def","list_entries","54"
"backend\app\core\lorebook.py","def","delete_entry","60"
"backend\app\core\lorebook.py","def","toggle_entry","64"
"backend\app\core\media_pipeline.py","def","get_provider_options","20"
"backend\app\core\media_pipeline.py","def","create_animation","47"
"backend\app\core\media_pipeline.py","def","create_slideshow","74"
"backend\app\core\media_pipeline.py","def","queue_media_job","106"
"backend\app\core\media_pipeline.py","def","get_job_status","118"
"backend\app\core\media_pipeline.py","def","list_jobs","124"
"backend\app\core\media_pipeline.py","def","_process_job","135"
"backend\app\core\media_pipeline.py","def","_worker_loop","167"
"backend\app\core\media_pipeline.py","def","_ensure_worker","178"
"backend\app\core\media_pipeline.py","def","trigger_achievement_cinematic","188"
"backend\app\core\media_pipeline.py","def","trigger_boss_cinematic","199"
"backend\app\core\media_pipeline.py","def","_batch_generate_portraits","211"
"backend\app\core\media_pipeline.py","def","queue_batch_portraits","228"
